Business Process,Name,Actor,Uses Container Interface,Uses Software System Interface
ExecuteTrades,Create Trade Request,Trader,TraderX.Containers.WebClient.Interfaces.CreateTrade,
ExecuteTrades,Process Trade Request,ExternalProcess,TraderX.Containers.TradeProcessor.Interfaces.Start,
ExecuteTrades,Refresh Web Client,ExternalProcess,TraderX.Containers.WebGUI.Interfaces.Start,
ExecuteTrades,Cancel Trade,Trader,TraderX.Containers.WebClient.Interfaces.CancelTrade,
ManageAccounts,View Account,Trader,TraderX.Containers.WebClient.Interfaces.ViewAccount,
ManageAccounts,Create Account,Trader,TraderX.Containers.WebClient.Interfaces.CreateAccount,
ManageAccounts,Update Account,Trader,TraderX.Containers.WebClient.Interfaces.UpdateAccount,
ViewTradeStatusAndPositions,View Trade Status / Positions,Trader,TraderX.Containers.WebClient.Interfaces.ViewTradeStatusAndPositions,
PeopleSearch,Type Ahead People Search,Trader,TraderX.Containers.WebClient.Interfaces.TypeAheadPeopleSearch,
